DateKey,Date,Day,WeekNum,Month,MonthShort,MonthNum,Quarter,Year
20200101,2020-01-01,Mercredi,1,Janvier,Janv,1,1,2020
20200102,2020-01-02,Jeudi,1,Janvier,Janv,1,1,2020
20200103,2020-01-03,Vendredi,1,Janvier,Janv,1,1,2020
20200104,2020-01-04,Samedi,1,Janvier,Janv,1,1,2020
20200105,2020-01-05,Dimanche,2,Janvier,Janv,1,1,2020
20200106,2020-01-06,Lundi,2,Janvier,Janv,1,1,2020
20200107,2020-01-07,Mardi,2,Janvier,Janv,1,1,2020
20200108,2020-01-08,Mercredi,2,Janvier,Janv,1,1,2020
20200109,2020-01-09,Jeudi,2,Janvier,Janv,1,1,2020
20200110,2020-01-10,Vendredi,2,Janvier,Janv,1,1,2020
20200111,2020-01-11,Samedi,2,Janvier,Janv,1,1,2020
20200112,2020-01-12,Dimanche,3,Janvier,Janv,1,1,2020
20200113,2020-01-13,Lundi,3,Janvier,Janv,1,1,2020
20200114,2020-01-14,Mardi,3,Janvier,Janv,1,1,2020
20200115,2020-01-15,Mercredi,3,Janvier,Janv,1,1,2020
20200116,2020-01-16,Jeudi,3,Janvier,Janv,1,1,2020
20200117,2020-01-17,Vendredi,3,Janvier,Janv,1,1,2020
20200118,2020-01-18,Samedi,3,Janvier,Janv,1,1,2020
20200119,2020-01-19,Dimanche,4,Janvier,Janv,1,1,2020
20200120,2020-01-20,Lundi,4,Janvier,Janv,1,1,2020
20200121,2020-01-21,Mardi,4,Janvier,Janv,1,1,2020
20200122,2020-01-22,Mercredi,4,Janvier,Janv,1,1,2020
20200123,2020-01-23,Jeudi,4,Janvier,Janv,1,1,2020
20200124,2020-01-24,Vendredi,4,Janvier,Janv,1,1,2020
20200125,2020-01-25,Samedi,4,Janvier,Janv,1,1,2020
20200126,2020-01-26,Dimanche,5,Janvier,Janv,1,1,2020
20200127,2020-01-27,Lundi,5,Janvier,Janv,1,1,2020
20200128,2020-01-28,Mardi,5,Janvier,Janv,1,1,2020
20200129,2020-01-29,Mercredi,5,Janvier,Janv,1,1,2020
20200130,2020-01-30,Jeudi,5,Janvier,Janv,1,1,2020
20200131,2020-01-31,Vendredi,5,Janvier,Janv,1,1,2020
20200201,2020-02-01,Samedi,5,Février,Févr,2,1,2020
20200202,2020-02-02,Dimanche,6,Février,Févr,2,1,2020
20200203,2020-02-03,Lundi,6,Février,Févr,2,1,2020
20200204,2020-02-04,Mardi,6,Février,Févr,2,1,2020
20200205,2020-02-05,Mercredi,6,Février,Févr,2,1,2020
20200206,2020-02-06,Jeudi,6,Février,Févr,2,1,2020
20200207,2020-02-07,Vendredi,6,Février,Févr,2,1,2020
20200208,2020-02-08,Samedi,6,Février,Févr,2,1,2020
20200209,2020-02-09,Dimanche,7,Février,Févr,2,1,2020
20200210,2020-02-10,Lundi,7,Février,Févr,2,1,2020
20200211,2020-02-11,Mardi,7,Février,Févr,2,1,2020
20200212,2020-02-12,Mercredi,7,Février,Févr,2,1,2020
20200213,2020-02-13,Jeudi,7,Février,Févr,2,1,2020
20200214,2020-02-14,Vendredi,7,Février,Févr,2,1,2020
20200215,2020-02-15,Samedi,7,Février,Févr,2,1,2020
20200216,2020-02-16,Dimanche,8,Février,Févr,2,1,2020
20200217,2020-02-17,Lundi,8,Février,Févr,2,1,2020
20200218,2020-02-18,Mardi,8,Février,Févr,2,1,2020
20200219,2020-02-19,Mercredi,8,Février,Févr,2,1,2020
20200220,2020-02-20,Jeudi,8,Février,Févr,2,1,2020
20200221,2020-02-21,Vendredi,8,Février,Févr,2,1,2020
20200222,2020-02-22,Samedi,8,Février,Févr,2,1,2020
20200223,2020-02-23,Dimanche,9,Février,Févr,2,1,2020
20200224,2020-02-24,Lundi,9,Février,Févr,2,1,2020
20200225,2020-02-25,Mardi,9,Février,Févr,2,1,2020
20200226,2020-02-26,Mercredi,9,Février,Févr,2,1,2020
20200227,2020-02-27,Jeudi,9,Février,Févr,2,1,2020
20200228,2020-02-28,Vendredi,9,Février,Févr,2,1,2020
20200229,2020-02-29,Samedi,9,Février,Févr,2,1,2020
20200301,2020-03-01,Dimanche,10,Mars,Mars,3,1,2020
20200302,2020-03-02,Lundi,10,Mars,Mars,3,1,2020
20200303,2020-03-03,Mardi,10,Mars,Mars,3,1,2020
20200304,2020-03-04,Mercredi,10,Mars,Mars,3,1,2020
20200305,2020-03-05,Jeudi,10,Mars,Mars,3,1,2020
20200306,2020-03-06,Vendredi,10,Mars,Mars,3,1,2020
20200307,2020-03-07,Samedi,10,Mars,Mars,3,1,2020
20200308,2020-03-08,Dimanche,11,Mars,Mars,3,1,2020
20200309,2020-03-09,Lundi,11,Mars,Mars,3,1,2020
20200310,2020-03-10,Mardi,11,Mars,Mars,3,1,2020
20200311,2020-03-11,Mercredi,11,Mars,Mars,3,1,2020
20200312,2020-03-12,Jeudi,11,Mars,Mars,3,1,2020
20200313,2020-03-13,Vendredi,11,Mars,Mars,3,1,2020
20200314,2020-03-14,Samedi,11,Mars,Mars,3,1,2020
20200315,2020-03-15,Dimanche,12,Mars,Mars,3,1,2020
20200316,2020-03-16,Lundi,12,Mars,Mars,3,1,2020
20200317,2020-03-17,Mardi,12,Mars,Mars,3,1,2020
20200318,2020-03-18,Mercredi,12,Mars,Mars,3,1,2020
20200319,2020-03-19,Jeudi,12,Mars,Mars,3,1,2020
20200320,2020-03-20,Vendredi,12,Mars,Mars,3,1,2020
20200321,2020-03-21,Samedi,12,Mars,Mars,3,1,2020
20200322,2020-03-22,Dimanche,13,Mars,Mars,3,1,2020
20200323,2020-03-23,Lundi,13,Mars,Mars,3,1,2020
20200324,2020-03-24,Mardi,13,Mars,Mars,3,1,2020
20200325,2020-03-25,Mercredi,13,Mars,Mars,3,1,2020
20200326,2020-03-26,Jeudi,13,Mars,Mars,3,1,2020
20200327,2020-03-27,Vendredi,13,Mars,Mars,3,1,2020
20200328,2020-03-28,Samedi,13,Mars,Mars,3,1,2020
20200329,2020-03-29,Dimanche,14,Mars,Mars,3,1,2020
20200330,2020-03-30,Lundi,14,Mars,Mars,3,1,2020
20200331,2020-03-31,Mardi,14,Mars,Mars,3,1,2020
20200401,2020-04-01,Mercredi,14,Avril,Avri,4,2,2020
20200402,2020-04-02,Jeudi,14,Avril,Avri,4,2,2020
20200403,2020-04-03,Vendredi,14,Avril,Avri,4,2,2020
20200404,2020-04-04,Samedi,14,Avril,Avri,4,2,2020
20200405,2020-04-05,Dimanche,15,Avril,Avri,4,2,2020
20200406,2020-04-06,Lundi,15,Avril,Avri,4,2,2020
20200407,2020-04-07,Mardi,15,Avril,Avri,4,2,2020
20200408,2020-04-08,Mercredi,15,Avril,Avri,4,2,2020
20200409,2020-04-09,Jeudi,15,Avril,Avri,4,2,2020
20200410,2020-04-10,Vendredi,15,Avril,Avri,4,2,2020
20200411,2020-04-11,Samedi,15,Avril,Avri,4,2,2020
20200412,2020-04-12,Dimanche,16,Avril,Avri,4,2,2020
20200413,2020-04-13,Lundi,16,Avril,Avri,4,2,2020
20200414,2020-04-14,Mardi,16,Avril,Avri,4,2,2020
20200415,2020-04-15,Mercredi,16,Avril,Avri,4,2,2020
20200416,2020-04-16,Jeudi,16,Avril,Avri,4,2,2020
20200417,2020-04-17,Vendredi,16,Avril,Avri,4,2,2020
20200418,2020-04-18,Samedi,16,Avril,Avri,4,2,2020
20200419,2020-04-19,Dimanche,17,Avril,Avri,4,2,2020
20200420,2020-04-20,Lundi,17,Avril,Avri,4,2,2020
